Match Number,Round Number,Date,Location,Home Team,Away Team,Result
263,30,18/04/2027 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,Estrela Amadora,
264,30,18/04/2027 00:00,Estádio Municipal de Arouca,FC Arouca,SC Braga,
265,30,18/04/2027 00:00,Estádio D. Afonso Henriques,Vitória SC,Estoril Praia,
266,30,18/04/2027 00:00,Estádio Municipal do Fontelo,Académico,FC Famalicão,
267,30,18/04/2027 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,CD Nacional,
268,30,18/04/2027 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,Rio Ave FC,
269,30,18/04/2027 00:00,Estádio do Dragão,FC Porto,Santa Clara,
270,30,18/04/2027 00:00,Estádio do Marítimo,Marítimo M.,Sporting CP,
271,31,25/04/2027 00:00,Estádio Municipal de Arouca,FC Arouca,Académico,
272,31,25/04/2027 00:00,Estádio da Madeira,CD Nacional,Casa Pia AC,
273,31,25/04/2027 00:00,Estádio de São Miguel,Santa Clara,Estoril Praia,
274,31,25/04/2027 00:00,Estádio José Alvalade,Sporting CP,Gil Vicente FC,
275,31,25/04/2027 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Marítimo M.,
276,31,25/04/2027 00:00,Estádio Municipal de Famalicão,FC Famalicão,Moreirense FC,
277,31,25/04/2027 00:00,Estádio José Gomes,Estrela Amadora,FC Porto,
278,31,25/04/2027 00:00,Estádio Municipal de Braga,SC Braga,SL Benfica,
279,31,25/04/2027 00:00,Estádio do FC Alverca,FC Alverca,Vitória SC,
280,32,02/05/2027 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,FC Alverca,
281,32,02/05/2027 00:00,Estádio do Marítimo,Marítimo M.,Estrela Amadora,
282,32,02/05/2027 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,FC Arouca,
283,32,02/05/2027 00:00,Estádio Municipal do Fontelo,Académico,SC Braga,
284,32,02/05/2027 00:00,Estádio do Dragão,FC Porto,FC Famalicão,
285,32,02/05/2027 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,CD Nacional,
286,32,02/05/2027 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,Rio Ave FC,
287,32,02/05/2027 00:00,Estádio D. Afonso Henriques,Vitória SC,Santa Clara,
288,32,02/05/2027 00:00,Estádio António Coimbra da Mota,Estoril Praia,Sporting CP,
289,33,09/05/2027 00:00,Estádio Municipal de Famalicão,FC Famalicão,Casa Pia AC,
290,33,09/05/2027 00:00,Estádio do FC Alverca,FC Alverca,Estoril Praia,
291,33,09/05/2027 00:00,Estádio Municipal de Arouca,FC Arouca,Gil Vicente FC,
292,33,09/05/2027 00:00,Estádio Municipal de Braga,SC Braga,Marítimo M.,
293,33,09/05/2027 00:00,Estádio Municipal do Fontelo,Académico,Moreirense FC,
294,33,09/05/2027 00:00,Estádio da Madeira,CD Nacional,FC Porto,
295,33,09/05/2027 00:00,Estádio José Gomes,Estrela Amadora,Santa Clara,
296,33,09/05/2027 00:00,Estádio José Alvalade,Sporting CP,SL Benfica,
297,33,09/05/2027 00:00,Estádio do Rio Ave Futebol Clube,Rio Ave FC,Vitória SC,
298,34,16/05/2027 00:00,Estádio Municipal de Rio Maior,Casa Pia AC,Académico,
299,34,16/05/2027 00:00,Estádio do Marítimo,Marítimo M.,FC Alverca,
300,34,16/05/2027 00:00,Estádio António Coimbra da Mota,Estoril Praia,Estrela Amadora,
301,34,16/05/2027 00:00,Estádio do Sport Lisboa e Benfica,SL Benfica,FC Arouca,
302,34,16/05/2027 00:00,Estádio do Dragão,FC Porto,SC Braga,
303,34,16/05/2027 00:00,Estádio D. Afonso Henriques,Vitória SC,FC Famalicão,
304,34,16/05/2027 00:00,Estádio Cidade de Barcelos,Gil Vicente FC,CD Nacional,
305,34,16/05/2027 00:00,Parque Desportivo Comendador Joaquim de Almeida Fr,Moreirense FC,Rio Ave FC,
306,34,16/05/2027 00:00,Estádio de São Miguel,Santa Clara,Sporting CP,
