Match Number,Round Number,Date,Location,Home Team,Away Team,Result
239,27,09/04/2027 23:00,Stade Vélodrome,Olympique de Marseille,Stade Brestois 29,
240,27,09/04/2027 23:00,Stade Louis II,AS Monaco,Stade Rennais FC,
241,27,09/04/2027 23:00,Allianz Riviera,OGC Nice,Paris FC,
242,27,09/04/2027 23:00,Parc des Princes,Paris Saint-Germain,Havre Athletic Club,
243,27,09/04/2027 23:00,Stade de l'Aube,Estac Troyes,Angers SCO,
244,28,16/04/2027 23:00,Stade Raymond Kopa,Angers SCO,Olympique Lyonnais,
245,28,16/04/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,FC Lorient,
246,28,16/04/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,Le Mans FC,
247,28,16/04/2027 23:00,Stade Océane,Havre Athletic Club,Olympique de Marseille,
248,28,16/04/2027 23:00,Stade Bollaert-Delelis,RC Lens,OGC Nice,
249,28,16/04/2027 23:00,Stade Louis II,AS Monaco,RC Strasbourg Alsace,
250,28,16/04/2027 23:00,Parc des Princes,Paris Saint-Germain,LOSC Lille,
251,28,16/04/2027 23:00,Roazhon Park,Stade Rennais FC,Estac Troyes,
252,28,16/04/2027 23:00,Stadium de Toulouse,Toulouse FC,Paris FC,
253,29,23/04/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Havre Athletic Club,
254,29,23/04/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,AS Monaco,
255,29,23/04/2027 23:00,Stade du Moustoir,FC Lorient,Paris Saint-Germain,
256,29,23/04/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,Stade Brestois 29,
257,29,23/04/2027 23:00,Stade Vélodrome,Olympique de Marseille,AJ Auxerre,
258,29,23/04/2027 23:00,Allianz Riviera,OGC Nice,Angers SCO,
259,29,23/04/2027 23:00,Stade Charléty,Paris FC,RC Lens,
260,29,23/04/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,
261,29,23/04/2027 23:00,Stade de l'Aube,Estac Troyes,Toulouse FC,
262,30,30/04/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Olympique Lyonnais,
263,30,30/04/2027 23:00,Stade Océane,Havre Athletic Club,Paris FC,
264,30,30/04/2027 23:00,Stade Bollaert-Delelis,RC Lens,Le Mans FC,
265,30,30/04/2027 23:00,Stade Louis II,AS Monaco,FC Lorient,
266,30,30/04/2027 23:00,Parc des Princes,Paris Saint-Germain,Angers SCO,
267,30,30/04/2027 23:00,Roazhon Park,Stade Rennais FC,OGC Nice,
268,30,30/04/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,
269,30,30/04/2027 23:00,Stadium de Toulouse,Toulouse FC,Olympique de Marseille,
270,30,30/04/2027 23:00,Stade de l'Aube,Estac Troyes,Stade Brestois 29,
271,31,07/05/2027 23:00,Stade Raymond Kopa,Angers SCO,Toulouse FC,
272,31,07/05/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,AJ Auxerre,
273,31,07/05/2027 23:00,Stade Marie-Marvingt,Le Mans FC,Estac Troyes,
274,31,07/05/2027 23:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,
275,31,07/05/2027 23:00,Stade du Moustoir,FC Lorient,RC Strasbourg Alsace,
276,31,07/05/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,Paris Saint-Germain,
277,31,07/05/2027 23:00,Allianz Riviera,OGC Nice,Olympique de Marseille,
278,31,07/05/2027 23:00,Stade Charléty,Paris FC,LOSC Lille,
279,31,07/05/2027 23:00,Roazhon Park,Stade Rennais FC,Havre Athletic Club,
280,32,15/05/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Stade Rennais FC,
281,32,15/05/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,Havre Athletic Club,
282,32,15/05/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,Angers SCO,
283,32,15/05/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,Le Mans FC,
284,32,15/05/2027 23:00,Stade Vélodrome,Olympique de Marseille,RC Lens,
285,32,15/05/2027 23:00,Stade Louis II,AS Monaco,Paris FC,
286,32,15/05/2027 23:00,Parc des Princes,Paris Saint-Germain,OGC Nice,
287,32,15/05/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,Estac Troyes,
288,32,15/05/2027 23:00,Stadium de Toulouse,Toulouse FC,FC Lorient,
289,33,21/05/2027 23:00,Stade Raymond Kopa,Angers SCO,Stade Brestois 29,
290,33,21/05/2027 23:00,Stade Océane,Havre Athletic Club,LOSC Lille,
291,33,21/05/2027 23:00,Stade Marie-Marvingt,Le Mans FC,RC Strasbourg Alsace,
292,33,21/05/2027 23:00,Stade Bollaert-Delelis,RC Lens,Stade Rennais FC,
293,33,21/05/2027 23:00,Stade du Moustoir,FC Lorient,Olympique Lyonnais,
294,33,21/05/2027 23:00,Allianz Riviera,OGC Nice,AS Monaco,
295,33,21/05/2027 23:00,Stade Charléty,Paris FC,Olympique de Marseille,
296,33,21/05/2027 23:00,Stadium de Toulouse,Toulouse FC,AJ Auxerre,
297,33,21/05/2027 23:00,Stade de l'Aube,Estac Troyes,Paris Saint-Germain,
298,34,28/05/2027 23:00,Stade de l'Abbé-Deschamps,AJ Auxerre,Havre Athletic Club,
299,34,28/05/2027 23:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,
300,34,28/05/2027 23:00,Stade Pierre-Mauroy,LOSC Lille,Le Mans FC,
301,34,28/05/2027 23:00,Parc Olympique Lyonnais,Olympique Lyonnais,Paris FC,
302,34,28/05/2027 23:00,Stade Vélodrome,Olympique de Marseille,FC Lorient,
303,34,28/05/2027 23:00,Stade Louis II,AS Monaco,Estac Troyes,
304,34,28/05/2027 23:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,
305,34,28/05/2027 23:00,Roazhon Park,Stade Rennais FC,Angers SCO,
306,34,28/05/2027 23:00,Stade de la Meinau,RC Strasbourg Alsace,OGC Nice,
